product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
"K2 Condoms Combo (Ultra-Thin, Chocolate - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921759/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_ultra_thin,_chocolate_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-ultra-thin-chocolate-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
"K2 Condoms Combo (Ultra-Thin, Extra-Time - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921756/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_ultra_thin,_extra_time_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-ultra-thin-extra-time-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
"K2 Condoms Combo (Ultra-Thin, Banana - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921757/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_ultra_thin,_banana_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-ultra-thin-banana-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
"K2 Condoms Combo (X4, Strawberry - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921754/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_x4,_strawberry_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-x4-strawberry-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
"K2 Condoms Combo (X4, Chocolate - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921755/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_x4,_chocolate_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-x4-chocolate-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
"K2 Condoms Combo (X4, Extra-Time - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921752/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_x4,_extra_time_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-x4-extra-time-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
"K2 Condoms Combo (X4, Banana - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921753/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_x4,_banana_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-x4-banana-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
K2 Condoms - X4 (Pack of 3 x 10's),Mfr: KWOT Healthcare Private Limited,https://www.netmeds.com/images/product-v1/150x150/921750/k2_condoms_premium_series_10_pcs_x4_condoms_pack_of_3_30s_0_0.jpg,https://www.netmeds.com/non-prescriptions/k2-condoms-premium-series-10-pcs-x4-condoms-pack-of-3-30s,Rs. 270.00,Rs. 360.00,25% OFF,True
K2 Condoms - Ultra-Thin (Pack of 3 x 10's),Mfr: KWOT Healthcare Private Limited,https://www.netmeds.com/images/product-v1/150x150/921751/k2_condoms_premium_series_10_pcs_ultra_thin_condoms_pack_of_3_30s_0_0.jpg,https://www.netmeds.com/non-prescriptions/k2-condoms-premium-series-10-pcs-ultra-thin-condoms-pack-of-3-30s,Rs. 270.00,Rs. 360.00,25% OFF,True
K2 Condoms - X4 10's,Mfr: KWOT Healthcare Private Limited,https://www.netmeds.com/images/product-v1/150x150/921748/k2_condoms_premium_series_x4_condoms_10s_0_0.jpg,https://www.netmeds.com/non-prescriptions/k2-condoms-premium-series-x4-condoms-10s,Rs. 108.00,Rs. 120.00,10% OFF,True
